origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
142,Manhattan,Lincoln Square East,48,Manhattan,Clinton East,5239,4.36,1.025,8.382,17.01,6,63
141,Manhattan,Lenox Hill West,263,Manhattan,Yorkville West,5185,6.41,0.991,6.308,14.58,3,64
161,Manhattan,Midtown Center,142,Manhattan,Lincoln Square East,5182,3.16,1.426,13.921,21.98,8,65
239,Manhattan,Upper West Side South,237,Manhattan,Upper East Side South,5153,5.33,1.692,12.768,20.28,4,66
161,Manhattan,Midtown Center,170,Manhattan,Murray Hill,5134,3.13,0.949,10.706,18.18,9,67
142,Manhattan,Lincoln Square East,163,Manhattan,Midtown North,5098,4.24,0.834,7.072,15.62,7,68
162,Manhattan,Midtown East,141,Manhattan,Lenox Hill West,5082,4.25,1.201,10.486,18.66,3,69
263,Manhattan,Yorkville West,237,Manhattan,Upper East Side South,5073,7.43,1.194,9.764,17.05,3,70
230,Manhattan,Times Sq/Theatre District,161,Manhattan,Midtown Center,4994,4.13,0.745,8.897,17.18,2,72
164,Manhattan,Midtown South,161,Manhattan,Midtown Center,4992,5.94,0.959,10.167,18.16,1,73
229,Manhattan,Sutton Place/Turtle Bay North,237,Manhattan,Upper East Side South,4990,8.07,1.026,11.307,18.58,1,74
230,Manhattan,Times Sq/Theatre District,142,Manhattan,Lincoln Square East,4920,4.07,1.149,9.331,18.4,3,75
142,Manhattan,Lincoln Square East,230,Manhattan,Times Sq/Theatre District,4877,4.06,1.061,9.741,17.86,8,76
234,Manhattan,Union Sq,161,Manhattan,Midtown Center,4866,4.62,1.452,13.732,21.21,2,77
161,Manhattan,Midtown Center,186,Manhattan,Penn Station/Madison Sq West,4824,2.94,1.272,14.645,21.67,10,78
170,Manhattan,Murray Hill,237,Manhattan,Upper East Side South,4789,4.63,1.587,15.083,22.36,1,79
138,Queens,LaGuardia Airport,161,Manhattan,Midtown Center,4782,4.11,9.737,40.879,78.15,2,80
230,Manhattan,Times Sq/Theatre District,68,Manhattan,East Chelsea,4751,3.93,1.365,12.69,20.37,4,81
249,Manhattan,West Village,79,Manhattan,East Village,4725,5.49,1.253,11.495,19.13,1,82
230,Manhattan,Times Sq/Theatre District,138,Queens,LaGuardia Airport,4713,3.9,11.324,37.396,78.99,5,83
79,Manhattan,East Village,170,Manhattan,Murray Hill,4712,4.91,1.666,10.423,19.5,1,84
132,Queens,JFK Airport,164,Manhattan,Midtown South,4711,2.88,17.082,57.253,97.49,2,85
170,Manhattan,Murray Hill,234,Manhattan,Union Sq,4658,4.5,1.065,9.227,17.45,2,86
239,Manhattan,Upper West Side South,143,Manhattan,Lincoln Square West,4653,4.81,0.915,7.309,15.13,5,87
262,Manhattan,Yorkville East,237,Manhattan,Upper East Side South,4612,9.03,1.431,12.108,18.78,2,88
68,Manhattan,East Chelsea,48,Manhattan,Clinton East,4600,4.7,1.224,11.864,19.61,1,89
162,Manhattan,Midtown East,170,Manhattan,Murray Hill,4586,3.84,0.857,8.24,16.87,4,90
141,Manhattan,Lenox Hill West,229,Manhattan,Sutton Place/Turtle Bay North,4567,5.65,0.948,8.67,16.38,4,91
163,Manhattan,Midtown North,142,Manhattan,Lincoln Square East,4561,4.35,0.908,8.342,17.07,4,92
170,Manhattan,Murray Hill,161,Manhattan,Midtown Center,4545,4.39,0.897,10.799,18.45,3,93
68,Manhattan,East Chelsea,230,Manhattan,Times Sq/Theatre District,4520,4.62,1.469,16.133,23.17,2,94
142,Manhattan,Lincoln Square East,143,Manhattan,Lincoln Square West,4480,3.73,0.738,6.258,14.6,9,95
230,Manhattan,Times Sq/Theatre District,163,Manhattan,Midtown North,4439,3.67,0.788,8.181,16.64,6,97
48,Manhattan,Clinton East,142,Manhattan,Lincoln Square East,4430,4.88,1.046,6.892,16.43,2,98
79,Manhattan,East Village,107,Manhattan,Gramercy,4399,4.58,0.926,6.33,15.34,2,99
140,Manhattan,Lenox Hill East,263,Manhattan,Yorkville West,4388,6.13,1.061,7.085,15.17,3,100
230,Manhattan,Times Sq/Theatre District,237,Manhattan,Upper East Side South,4353,3.6,1.51,13.992,22.2,7,101
162,Manhattan,Midtown East,230,Manhattan,Times Sq/Theatre District,4305,3.6,0.895,13.406,20.51,5,104
163,Manhattan,Midtown North,230,Manhattan,Times Sq/Theatre District,4299,4.1,0.783,11.001,18.13,5,105
43,Manhattan,Central Park,161,Manhattan,Midtown Center,4272,7.8,1.45,13.385,21.27,1,106
143,Manhattan,Lincoln Square West,239,Manhattan,Upper West Side South,4257,9.54,0.865,6.036,14.38,1,107
234,Manhattan,Union Sq,68,Manhattan,East Chelsea,4209,4.0,1.103,10.073,18.07,3,109
43,Manhattan,Central Park,237,Manhattan,Upper East Side South,4195,7.66,1.06,9.096,17.13,2,110
140,Manhattan,Lenox Hill East,262,Manhattan,Yorkville East,4178,5.83,0.891,6.519,14.33,4,111
162,Manhattan,Midtown East,161,Manhattan,Midtown Center,4178,3.5,0.662,11.0,17.5,6,111
186,Manhattan,Penn Station/Madison Sq West,107,Manhattan,Gramercy,4178,3.51,1.348,11.501,19.79,5,111
68,Manhattan,East Chelsea,246,Manhattan,West Chelsea/Hudson Yards,4177,4.27,0.881,7.246,16.24,3,114
234,Manhattan,Union Sq,249,Manhattan,West Village,4099,3.89,1.13,8.815,17.45,4,116
141,Manhattan,Lenox Hill West,162,Manhattan,Midtown East,4098,5.07,1.272,10.801,18.96,5,117
249,Manhattan,West Village,231,Manhattan,TriBeCa/Civic Center,4091,4.76,1.386,10.28,18.73,2,118
249,Manhattan,West Village,68,Manhattan,East Chelsea,4079,4.74,1.224,8.875,17.42,3,119
48,Manhattan,Clinton East,246,Manhattan,West Chelsea/Hudson Yards,4057,4.47,1.252,8.579,17.66,3,121
162,Manhattan,Midtown East,140,Manhattan,Lenox Hill East,4040,3.38,1.525,12.807,21.02,7,122
239,Manhattan,Upper West Side South,151,Manhattan,Manhattan Valley,4031,4.17,1.27,7.624,16.25,6,123
132,Queens,JFK Airport,48,Manhattan,Clinton East,4018,2.46,17.994,64.861,95.58,3,124
68,Manhattan,East Chelsea,234,Manhattan,Union Sq,4013,4.1,1.147,10.336,18.67,4,125
246,Manhattan,West Chelsea/Hudson Yards,48,Manhattan,Clinton East,4003,5.94,1.139,9.517,18.25,1,126
162,Manhattan,Midtown East,234,Manhattan,Union Sq,3970,3.32,1.566,13.601,21.33,8,127
230,Manhattan,Times Sq/Theatre District,236,Manhattan,Upper East Side North,3968,3.28,2.46,18.788,26.92,8,128
79,Manhattan,East Village,249,Manhattan,West Village,3967,4.13,1.276,11.818,18.81,3,129
170,Manhattan,Murray Hill,107,Manhattan,Gramercy,3940,3.81,1.026,7.522,16.49,4,131
163,Manhattan,Midtown North,239,Manhattan,Upper West Side South,3930,3.75,1.651,11.989,21.29,6,132
140,Manhattan,Lenox Hill East,162,Manhattan,Midtown East,3915,5.47,1.649,13.361,21.51,5,133
249,Manhattan,West Village,234,Manhattan,Union Sq,3898,4.53,1.076,8.637,17.3,4,134
164,Manhattan,Midtown South,230,Manhattan,Times Sq/Theatre District,3849,4.58,1.088,13.816,20.31,2,135
186,Manhattan,Penn Station/Madison Sq West,163,Manhattan,Midtown North,3834,3.22,1.489,16.652,23.79,6,136
234,Manhattan,Union Sq,186,Manhattan,Penn Station/Madison Sq West,3816,3.62,0.828,8.929,16.96,5,137
48,Manhattan,Clinton East,161,Manhattan,Midtown Center,3796,4.18,0.983,11.453,17.97,4,138
234,Manhattan,Union Sq,79,Manhattan,East Village,3796,3.6,1.276,11.377,18.73,6,138
262,Manhattan,Yorkville East,140,Manhattan,Lenox Hill East,3769,7.38,0.871,5.878,14.0,3,140
186,Manhattan,Penn Station/Madison Sq West,48,Manhattan,Clinton East,3754,3.16,1.1,12.433,20.01,7,141
43,Manhattan,Central Park,236,Manhattan,Upper East Side North,3744,6.84,1.234,9.171,17.26,3,142
230,Manhattan,Times Sq/Theatre District,239,Manhattan,Upper West Side South,3738,3.09,1.913,13.292,22.66,9,143
263,Manhattan,Yorkville West,140,Manhattan,Lenox Hill East,3733,5.47,1.123,7.616,15.68,4,144
132,Queens,JFK Airport,163,Manhattan,Midtown North,3724,2.28,17.806,64.311,94.89,4,145
170,Manhattan,Murray Hill,162,Manhattan,Midtown East,3715,3.59,0.865,8.203,16.58,5,146
164,Manhattan,Midtown South,170,Manhattan,Murray Hill,3689,4.39,0.64,6.435,15.31,3,147
68,Manhattan,East Chelsea,249,Manhattan,West Village,3688,3.77,1.201,9.694,17.72,5,148
138,Queens,LaGuardia Airport,164,Manhattan,Midtown South,3685,3.17,9.196,35.933,74.19,3,149
162,Manhattan,Midtown East,107,Manhattan,Gramercy,3679,3.08,1.446,10.899,19.49,9,150
100,Manhattan,Garment District,161,Manhattan,Midtown Center,3675,6.82,0.909,9.836,17.57,1,151
79,Manhattan,East Village,148,Manhattan,Lower East Side,3673,3.82,0.895,9.081,16.62,4,152
132,Queens,JFK Airport,161,Manhattan,Midtown Center,3669,2.25,17.477,61.408,96.9,5,153
138,Queens,LaGuardia Airport,162,Manhattan,Midtown East,3654,3.14,9.33,34.433,72.76,4,154
