origin_loc_id,origin_borough,origin_zone_name,dest_loc_id,destination_borough,destination_zone_name,trip_count,percentage_of_origin_trips,average_distance_miles,average_duration_minutes,average_total_charge,origin_flow_rank,overall_flow_rank
10,Queens,Baisley Park,95,Queens,Forest Hills,34,1.74,5.211,24.903,27.93,9,6578
10,Queens,Baisley Park,132,Queens,JFK Airport,34,1.74,5.251,20.75,58.5,10,6578
14,Brooklyn,Bay Ridge,61,Brooklyn,Crown Heights North,34,2.18,8.528,51.336,38.84,9,6578
26,Brooklyn,Borough Park,123,Brooklyn,Homecrest,34,3.46,3.127,22.99,19.96,7,6578
51,Bronx,Co-Op City,81,Bronx,Eastchester,34,3.12,1.679,10.611,11.75,1,6578
51,Bronx,Co-Op City,168,Bronx,Mott Haven/Port Morris,34,3.12,8.834,24.226,32.45,2,6578
52,Brooklyn,Cobble Hill,66,Brooklyn,DUMBO/Vinegar Hill,34,2.25,1.365,11.279,15.08,6,6578
52,Brooklyn,Cobble Hill,161,Manhattan,Midtown Center,34,2.25,7.528,32.33,42.56,7,6578
55,Brooklyn,Coney Island,29,Brooklyn,Brighton Beach,34,3.3,1.636,10.351,12.63,4,6578
69,Bronx,East Concourse/Concourse Village,247,Bronx,West Concourse,34,2.37,1.206,9.89,10.98,8,6578
77,Brooklyn,East New York/Pennsylvania Avenue,72,Brooklyn,East Flatbush/Remsen Village,34,2.88,1.938,13.399,14.46,6,6578
92,Queens,Flushing,82,Queens,Elmhurst,34,2.85,4.816,21.172,20.76,4,6578
102,Queens,Glendale,36,Brooklyn,Bushwick North,34,4.78,2.323,14.846,15.76,2,6578
106,Brooklyn,Gowanus,188,Brooklyn,Prospect-Lefferts Gardens,34,3.04,2.83,21.332,19.76,4,6578
149,Brooklyn,Madison,123,Brooklyn,Homecrest,34,6.14,1.485,13.522,13.79,3,6578
155,Brooklyn,Marine Park/Mill Basin,55,Brooklyn,Coney Island,34,3.57,6.646,24.586,30.26,7,6578
159,Bronx,Melrose South,167,Bronx,Morrisania/Melrose,34,2.33,1.116,8.264,10.9,9,6578
193,Queens,Queensbridge/Ravenswood,75,Manhattan,East Harlem South,34,1.99,4.803,24.234,31.39,6,6578
213,Bronx,Soundview/Castle Hill,75,Manhattan,East Harlem South,34,2.79,6.439,29.685,32.0,2,6578
213,Bronx,Soundview/Castle Hill,159,Bronx,Melrose South,34,2.79,3.576,18.327,23.1,3,6578
215,Queens,South Jamaica,218,Queens,Springfield Gardens North,34,2.23,2.208,10.87,14.82,4,6578
220,Bronx,Spuyten Duyvil/Kingsbridge,244,Manhattan,Washington Heights South,34,5.08,4.76,22.56,25.99,1,6578
227,Brooklyn,Sunset Park East,181,Brooklyn,Park Slope,34,5.2,2.55,16.297,16.27,3,6578
228,Brooklyn,Sunset Park West,22,Brooklyn,Bensonhurst West,34,1.72,3.917,19.505,22.69,10,6578
235,Bronx,University Heights/Morris Heights,168,Bronx,Mott Haven/Port Morris,34,3.46,3.83,16.105,19.78,2,6578
247,Bronx,West Concourse,167,Bronx,Morrisania/Melrose,34,1.92,1.844,11.669,16.46,9,6578
250,Bronx,Westchester Village/Unionport,213,Bronx,Soundview/Castle Hill,34,4.3,1.42,7.492,10.99,1,6578
258,Queens,Woodhaven,129,Queens,Jackson Heights,34,2.36,7.209,27.2,31.91,9,6578
21,Brooklyn,Bensonhurst East,22,Brooklyn,Bensonhurst West,33,5.69,1.132,12.385,14.0,1,6696
29,Brooklyn,Brighton Beach,55,Brooklyn,Coney Island,33,6.16,1.683,11.988,13.24,2,6696
51,Bronx,Co-Op City,42,Manhattan,Central Harlem North,33,3.02,10.195,36.767,42.58,3,6696
63,Brooklyn,Cypress Hills,216,Queens,South Ozone Park,33,2.33,3.593,16.488,18.8,8,6696
69,Bronx,East Concourse/Concourse Village,242,Bronx,Van Nest/Morris Park,33,2.3,6.079,27.891,25.88,9,6696
108,Brooklyn,Gravesend,55,Brooklyn,Coney Island,33,6.98,1.448,9.753,11.53,1,6696
165,Brooklyn,Midwood,155,Brooklyn,Marine Park/Mill Basin,33,3.56,2.619,17.698,17.25,6,6696
169,Bronx,Mount Hope,18,Bronx,Bedford Park,33,2.86,1.638,10.954,11.27,5,6696
171,Queens,Murray Hill-Queens,92,Queens,Flushing,33,10.15,1.266,8.779,10.41,1,6696
173,Queens,North Corona,7,Queens,Astoria,33,4.51,4.511,22.543,20.99,4,6696
195,Brooklyn,Red Hook,33,Brooklyn,Brooklyn Heights,33,2.08,2.06,16.128,15.95,7,6696
205,Queens,Saint Albans,191,Queens,Queens Village,33,2.96,2.385,11.846,13.34,2,6696
213,Bronx,Soundview/Castle Hill,250,Bronx,Westchester Village/Unionport,33,2.71,1.589,10.245,10.56,4,6696
215,Queens,South Jamaica,76,Brooklyn,East New York,33,2.16,6.524,28.617,27.87,5,6696
215,Queens,South Jamaica,82,Queens,Elmhurst,33,2.16,6.689,29.084,32.48,6,6696
219,Queens,Springfield Gardens South,132,Queens,JFK Airport,33,3.64,2.305,9.11,90.91,2,6696
227,Brooklyn,Sunset Park East,26,Brooklyn,Borough Park,33,5.05,1.366,13.08,13.02,4,6696
254,Bronx,Williamsbridge/Olinville,168,Bronx,Mott Haven/Port Morris,33,3.15,7.935,24.87,31.52,3,6696
254,Bronx,Williamsbridge/Olinville,242,Bronx,Van Nest/Morris Park,33,3.15,3.91,20.565,22.03,4,6696
258,Queens,Woodhaven,37,Brooklyn,Bushwick South,33,2.29,4.864,28.872,25.07,10,6696
259,Bronx,Woodlawn/Wakefield,254,Bronx,Williamsbridge/Olinville,33,5.6,1.572,9.075,11.94,1,6696
11,Brooklyn,Bath Beach,14,Brooklyn,Bay Ridge,32,11.19,2.348,12.845,15.64,1,6822
21,Brooklyn,Bensonhurst East,14,Brooklyn,Bay Ridge,32,5.52,3.825,20.045,19.39,2,6822
21,Brooklyn,Bensonhurst East,123,Brooklyn,Homecrest,32,5.52,1.356,11.323,12.24,3,6822
22,Brooklyn,Bensonhurst West,227,Brooklyn,Sunset Park East,32,4.11,2.632,18.208,18.74,5,6822
28,Queens,Briarwood/Jamaica Hills,132,Queens,JFK Airport,32,2.69,5.823,16.646,82.97,5,6822
51,Bronx,Co-Op City,140,Manhattan,Lenox Hill East,32,2.93,11.692,46.615,44.62,4,6822
52,Brooklyn,Cobble Hill,170,Manhattan,Murray Hill,32,2.12,6.649,26.897,36.33,8,6822
77,Brooklyn,East New York/Pennsylvania Avenue,177,Brooklyn,Ocean Hill,32,2.71,1.65,12.37,12.22,7,6822
78,Bronx,East Tremont,169,Bronx,Mount Hope,32,3.31,1.569,11.635,13.57,3,6822
92,Queens,Flushing,7,Queens,Astoria,32,2.68,5.957,19.971,25.05,5,6822
117,Queens,Hammels/Arverne,76,Brooklyn,East New York,32,5.32,10.069,34.962,41.0,2,6822
123,Brooklyn,Homecrest,55,Brooklyn,Coney Island,32,4.3,2.388,14.634,13.61,6,6822
155,Brooklyn,Marine Park/Mill Basin,72,Brooklyn,East Flatbush/Remsen Village,32,3.36,2.804,18.131,18.08,8,6822
155,Brooklyn,Marine Park/Mill Basin,76,Brooklyn,East New York,32,3.36,5.36,25.496,25.87,9,6822
159,Bronx,Melrose South,213,Bronx,Soundview/Castle Hill,32,2.19,3.704,16.817,20.83,10,6822
193,Queens,Queensbridge/Ravenswood,140,Manhattan,Lenox Hill East,32,1.87,2.767,17.066,22.64,7,6822
193,Queens,Queensbridge/Ravenswood,146,Queens,Long Island City/Queens Plaza,32,1.87,0.885,6.096,11.66,8,6822
193,Queens,Queensbridge/Ravenswood,161,Manhattan,Midtown Center,32,1.87,2.973,24.529,28.3,9,6822
195,Brooklyn,Red Hook,25,Brooklyn,Boerum Hill,32,2.02,2.306,16.304,25.16,8,6822
195,Brooklyn,Red Hook,65,Brooklyn,Downtown Brooklyn/MetroTech,32,2.02,2.586,21.902,23.15,9,6822
196,Queens,Rego Park,226,Queens,Sunnyside,32,2.61,4.456,18.302,23.66,5,6822
213,Bronx,Soundview/Castle Hill,42,Manhattan,Central Harlem North,32,2.63,5.708,26.829,30.04,5,6822
213,Bronx,Soundview/Castle Hill,74,Manhattan,East Harlem North,32,2.63,5.591,23.185,27.08,6,6822
213,Bronx,Soundview/Castle Hill,174,Bronx,Norwood,32,2.63,4.947,22.846,24.33,7,6822
247,Bronx,West Concourse,174,Bronx,Norwood,32,1.8,5.306,24.208,28.1,10,6822
18,Bronx,Bedford Park,243,Manhattan,Washington Heights North,31,3.45,3.97,20.869,23.11,2,6947
40,Brooklyn,Carroll Gardens,79,Manhattan,East Village,31,2.01,4.783,24.311,33.36,8,6947
47,Bronx,Claremont/Bathgate,159,Bronx,Melrose South,31,4.07,2.054,12.667,14.96,1,6947
51,Bronx,Co-Op City,174,Bronx,Norwood,31,2.84,3.411,26.584,20.97,5,6947
53,Queens,College Point,92,Queens,Flushing,31,8.64,1.969,13.103,15.45,1,6947
56,Queens,Corona,130,Queens,Jamaica,31,2.69,5.366,21.985,22.87,6,6947
78,Bronx,East Tremont,75,Manhattan,East Harlem South,31,3.2,6.416,36.816,33.09,4,6947
83,Queens,Elmhurst/Maspeth,7,Queens,Astoria,31,2.67,2.943,15.273,17.38,6,6947
149,Brooklyn,Madison,210,Brooklyn,Sheepshead Bay,31,5.6,1.627,10.048,11.7,4,6947
169,Bronx,Mount Hope,51,Bronx,Co-Op City,31,2.69,7.95,24.249,28.83,6,6947
169,Bronx,Mount Hope,247,Bronx,West Concourse,31,2.69,2.126,12.885,14.18,7,6947
196,Queens,Rego Park,130,Queens,Jamaica,31,2.52,5.02,19.61,23.32,6,6947
205,Queens,Saint Albans,215,Queens,South Jamaica,31,2.78,2.201,10.898,12.52,3,6947
210,Brooklyn,Sheepshead Bay,150,Brooklyn,Manhattan Beach,31,3.75,1.407,8.287,11.87,6,6947
215,Queens,South Jamaica,197,Queens,Richmond Hill,31,2.03,2.235,14.558,16.32,7,6947
235,Bronx,University Heights/Morris Heights,243,Manhattan,Washington Heights North,31,3.15,1.773,14.308,16.1,3,6947
21,Brooklyn,Bensonhurst East,55,Brooklyn,Coney Island,30,5.17,1.984,14.511,15.86,4,7061
21,Brooklyn,Bensonhurst East,210,Brooklyn,Sheepshead Bay,30,5.17,3.204,17.356,18.28,5,7061
40,Brooklyn,Carroll Gardens,49,Brooklyn,Clinton Hill,30,1.94,2.46,17.489,20.63,9,7061
51,Bronx,Co-Op City,242,Bronx,Van Nest/Morris Park,30,2.75,3.76,20.684,20.98,6,7061
52,Brooklyn,Cobble Hill,255,Brooklyn,Williamsburg (North Side),30,1.98,4.381,24.014,28.65,9,7061
55,Brooklyn,Coney Island,108,Brooklyn,Gravesend,30,2.91,1.44,10.25,11.23,5,7061
69,Bronx,East Concourse/Concourse Village,74,Manhattan,East Harlem North,30,2.09,2.891,18.932,20.87,10,7061
77,Brooklyn,East New York/Pennsylvania Avenue,89,Brooklyn,Flatbush/Ditmas Park,30,2.54,5.044,27.552,22.57,8,7061
93,Queens,Flushing Meadows-Corona Park,230,Manhattan,Times Sq/Theatre District,30,2.8,10.057,31.5,76.07,2,7061
123,Brooklyn,Homecrest,22,Brooklyn,Bensonhurst West,30,4.03,2.614,17.09,16.04,7,7061
133,Brooklyn,Kensington,26,Brooklyn,Borough Park,30,3.09,1.477,15.376,13.62,3,7061
139,Queens,Laurelton,130,Queens,Jamaica,30,7.28,4.093,18.588,22.38,1,7061
155,Brooklyn,Marine Park/Mill Basin,71,Brooklyn,East Flatbush/Farragut,30,3.15,2.423,17.099,19.01,10,7061
167,Bronx,Morrisania/Melrose,244,Manhattan,Washington Heights South,30,2.88,4.162,28.273,21.82,5,7061
180,Queens,Ozone Park,197,Queens,Richmond Hill,30,4.76,1.943,10.996,12.85,3,7061
182,Bronx,Parkchester,41,Manhattan,Central Harlem,30,3.03,7.364,34.794,35.5,2,7061
182,Bronx,Parkchester,74,Manhattan,East Harlem North,30,3.03,6.9,30.987,31.45,3,7061
191,Queens,Queens Village,216,Queens,South Ozone Park,30,3.43,8.104,24.753,30.03,4,7061
195,Brooklyn,Red Hook,230,Manhattan,Times Sq/Theatre District,30,1.89,8.966,35.984,64.53,10,7061
213,Bronx,Soundview/Castle Hill,126,Bronx,Hunts Point,30,2.47,2.44,9.897,12.77,8,7061
215,Queens,South Jamaica,10,Queens,Baisley Park,30,1.96,1.509,8.106,14.05,8,7061
215,Queens,South Jamaica,191,Queens,Queens Village,30,1.96,3.635,18.811,19.09,9,7061
18,Bronx,Bedford Park,69,Bronx,East Concourse/Concourse Village,29,3.23,3.308,16.395,18.7,3,7204
40,Brooklyn,Carroll Gardens,112,Brooklyn,Greenpoint,29,1.88,5.69,23.844,30.15,10,7204
47,Bronx,Claremont/Bathgate,169,Bronx,Mount Hope,29,3.81,1.224,9.225,9.89,2,7204
47,Bronx,Claremont/Bathgate,247,Bronx,West Concourse,29,3.81,1.83,13.014,13.68,3,7204
63,Brooklyn,Cypress Hills,198,Queens,Ridgewood,29,2.05,2.824,15.23,17.72,9,7204
102,Queens,Glendale,258,Queens,Woodhaven,29,4.08,2.077,11.085,13.08,3,7204
106,Brooklyn,Gowanus,25,Brooklyn,Boerum Hill,29,2.6,1.089,9.489,12.86,5,7204
124,Queens,Howard Beach,216,Queens,South Ozone Park,29,5.23,1.982,7.665,45.76,2,7204
160,Queens,Middle Village,95,Queens,Forest Hills,29,3.63,2.244,11.654,13.93,3,7204
165,Brooklyn,Midwood,188,Brooklyn,Prospect-Lefferts Gardens,29,3.13,3.846,27.229,21.81,7,7204
169,Bronx,Mount Hope,235,Bronx,University Heights/Morris Heights,29,2.52,1.126,10.459,12.03,8,7204
180,Queens,Ozone Park,132,Queens,JFK Airport,29,4.6,4.777,12.642,72.88,4,7204
182,Bronx,Parkchester,213,Bronx,Soundview/Castle Hill,29,2.93,1.586,10.568,12.0,4,7204
205,Queens,Saint Albans,10,Queens,Baisley Park,29,2.6,2.173,9.808,11.51,4,7204
212,Bronx,Soundview/Bruckner,244,Manhattan,Washington Heights South,29,3.23,5.734,28.482,30.66,2,7204
213,Bronx,Soundview/Castle Hill,212,Bronx,Soundview/Bruckner,29,2.38,1.522,8.339,11.12,9,7204
215,Queens,South Jamaica,28,Queens,Briarwood/Jamaica Hills,29,1.9,1.891,15.305,15.21,10,7204
218,Queens,Springfield Gardens North,76,Brooklyn,East New York,29,3.86,5.702,61.625,25.46,3,7204
223,Queens,Steinway,37,Brooklyn,Bushwick South,29,1.3,8.664,27.871,39.46,10,7204
38,Queens,Cambria Heights,130,Queens,Jamaica,28,8.36,4.659,20.526,25.06,1,7341
51,Bronx,Co-Op City,254,Bronx,Williamsbridge/Olinville,28,2.57,2.583,13.79,15.48,7,7341
52,Brooklyn,Cobble Hill,25,Brooklyn,Boerum Hill,28,1.85,0.893,10.212,14.96,10,7341
55,Brooklyn,Coney Island,228,Brooklyn,Sunset Park West,28,2.72,7.947,28.555,29.34,6,7341
63,Brooklyn,Cypress Hills,17,Brooklyn,Bedford,28,1.98,4.058,25.469,24.53,10,7341
78,Bronx,East Tremont,168,Bronx,Mott Haven/Port Morris,28,2.89,4.619,18.003,19.84,5,7341
92,Queens,Flushing,95,Queens,Forest Hills,28,2.35,3.88,14.832,16.83,6,7341
106,Brooklyn,Gowanus,228,Brooklyn,Sunset Park West,28,2.51,2.229,11.94,16.26,6,7341
119,Bronx,Highbridge,42,Manhattan,Central Harlem North,28,3.47,2.302,14.84,15.88,1,7341
123,Brooklyn,Homecrest,89,Brooklyn,Flatbush/Ditmas Park,28,3.76,2.735,19.424,18.26,8,7341
123,Brooklyn,Homecrest,149,Brooklyn,Madison,28,3.76,1.225,10.064,10.91,9,7341
123,Brooklyn,Homecrest,178,Brooklyn,Ocean Parkway South,28,3.76,1.231,9.677,12.13,10,7341
133,Brooklyn,Kensington,61,Brooklyn,Crown Heights North,28,2.89,4.356,27.352,24.74,4,7341
136,Bronx,Kingsbridge Heights,244,Manhattan,Washington Heights South,28,4.99,3.504,19.338,20.6,1,7341
165,Brooklyn,Midwood,29,Brooklyn,Brighton Beach,28,3.02,3.154,22.437,20.5,8,7341
165,Brooklyn,Midwood,61,Brooklyn,Crown Heights North,28,3.02,4.547,29.655,28.87,9,7341
174,Bronx,Norwood,18,Bronx,Bedford Park,28,3.73,1.38,9.352,11.42,1,7341
174,Bronx,Norwood,244,Manhattan,Washington Heights South,28,3.73,7.357,25.321,31.08,2,7341
174,Bronx,Norwood,254,Bronx,Williamsbridge/Olinville,28,3.73,1.736,11.248,12.52,3,7341
182,Bronx,Parkchester,140,Manhattan,Lenox Hill East,28,2.83,8.765,31.579,41.98,5,7341
196,Queens,Rego Park,28,Queens,Briarwood/Jamaica Hills,28,2.28,3.754,17.461,17.85,7,7341
196,Queens,Rego Park,197,Queens,Richmond Hill,28,2.28,4.38,45.583,23.94,8,7341
210,Brooklyn,Sheepshead Bay,91,Brooklyn,Flatlands,28,3.39,3.043,17.765,17.54,7,7341
213,Bronx,Soundview/Castle Hill,242,Bronx,Van Nest/Morris Park,28,2.3,4.082,21.689,22.16,10,7341
219,Queens,Springfield Gardens South,216,Queens,South Ozone Park,28,3.09,3.479,12.757,20.19,3,7341
222,Brooklyn,Starrett City,39,Brooklyn,Canarsie,28,3.93,1.764,16.439,15.77,2,7341
227,Brooklyn,Sunset Park East,89,Brooklyn,Flatbush/Ditmas Park,28,4.28,2.805,21.885,21.61,5,7341
248,Bronx,West Farms/Bronx River,242,Bronx,Van Nest/Morris Park,28,3.42,2.314,14.696,14.57,1,7341
14,Brooklyn,Bay Ridge,210,Brooklyn,Sheepshead Bay,27,1.73,8.196,24.191,31.6,10,7499
22,Brooklyn,Bensonhurst West,123,Brooklyn,Homecrest,27,3.47,2.335,14.689,17.3,6,7499
26,Brooklyn,Borough Park,17,Brooklyn,Bedford,27,2.75,7.206,43.148,39.19,8,7499
26,Brooklyn,Borough Park,228,Brooklyn,Sunset Park West,27,2.75,2.369,17.689,16.01,9,7499
47,Bronx,Claremont/Bathgate,168,Bronx,Mott Haven/Port Morris,27,3.54,3.007,14.712,15.55,4,7499
55,Brooklyn,Coney Island,39,Brooklyn,Canarsie,27,2.62,8.783,32.395,32.93,7,7499
55,Brooklyn,Coney Island,123,Brooklyn,Homecrest,27,2.62,2.823,17.738,19.03,8,7499
67,Brooklyn,Dyker Heights,22,Brooklyn,Bensonhurst West,27,6.52,1.357,9.693,11.27,2,7499
67,Brooklyn,Dyker Heights,228,Brooklyn,Sunset Park West,27,6.52,2.812,14.963,14.91,3,7499
77,Brooklyn,East New York/Pennsylvania Avenue,63,Brooklyn,Cypress Hills,27,2.29,1.91,13.052,14.28,9,7499
92,Queens,Flushing,53,Queens,College Point,27,2.26,1.964,10.642,13.36,7,7499
106,Brooklyn,Gowanus,37,Brooklyn,Bushwick South,27,2.42,4.58,29.763,30.01,7,7499
119,Bronx,Highbridge,41,Manhattan,Central Harlem,27,3.35,3.171,20.208,23.15,2,7499
121,Queens,Hillcrest/Pomonok,226,Queens,Sunnyside,27,4.19,8.177,25.525,35.82,3,7499
149,Brooklyn,Madison,29,Brooklyn,Brighton Beach,27,4.87,2.501,15.708,16.41,5,7499
149,Brooklyn,Madison,91,Brooklyn,Flatlands,27,4.87,1.91,11.883,14.03,6,7499
165,Brooklyn,Midwood,149,Brooklyn,Madison,27,2.91,1.806,13.886,13.68,10,7499
167,Bronx,Morrisania/Melrose,41,Manhattan,Central Harlem,27,2.59,3.724,31.038,23.16,6,7499
167,Bronx,Morrisania/Melrose,74,Manhattan,East Harlem North,27,2.59,3.073,19.04,22.07,7,7499
169,Bronx,Mount Hope,78,Bronx,East Tremont,27,2.34,1.466,12.019,12.12,9,7499
169,Bronx,Mount Hope,127,Manhattan,Inwood,27,2.34,2.554,15.178,17.53,10,7499
193,Queens,Queensbridge/Ravenswood,230,Manhattan,Times Sq/Theatre District,27,1.58,3.52,27.846,32.77,10,7499
205,Queens,Saint Albans,216,Queens,South Ozone Park,27,2.42,4.137,18.765,21.42,5,7499
205,Queens,Saint Albans,219,Queens,Springfield Gardens South,27,2.42,2.556,14.501,14.31,6,7499
218,Queens,Springfield Gardens North,10,Queens,Baisley Park,27,3.6,1.444,10.854,14.07,4,7499
242,Bronx,Van Nest/Morris Park,174,Bronx,Norwood,27,3.95,3.903,21.833,22.53,1,7499
259,Bronx,Woodlawn/Wakefield,51,Bronx,Co-Op City,27,4.58,2.604,14.081,16.54,2,7499
18,Bronx,Bedford Park,174,Bronx,Norwood,26,2.89,1.22,8.822,12.67,4,7658
21,Brooklyn,Bensonhurst East,26,Brooklyn,Borough Park,26,4.48,2.34,17.351,15.49,6,7658
22,Brooklyn,Bensonhurst West,55,Brooklyn,Coney Island,26,3.34,2.841,16.528,18.55,7,7658
22,Brooklyn,Bensonhurst West,89,Brooklyn,Flatbush/Ditmas Park,26,3.34,3.202,23.088,19.4,8,7658
28,Queens,Briarwood/Jamaica Hills,129,Queens,Jackson Heights,26,2.18,7.531,22.526,26.99,6,7658
51,Bronx,Co-Op City,213,Bronx,Soundview/Castle Hill,26,2.38,5.739,17.893,24.97,8,7658
86,Queens,Far Rockaway,76,Brooklyn,East New York,26,4.21,11.056,41.265,41.67,2,7658
86,Queens,Far Rockaway,130,Queens,Jamaica,26,4.21,8.924,35.077,43.14,3,7658
106,Brooklyn,Gowanus,89,Brooklyn,Flatbush/Ditmas Park,26,2.33,3.473,19.035,20.27,8,7658
108,Brooklyn,Gravesend,29,Brooklyn,Brighton Beach,26,5.5,1.762,11.908,12.18,2,7658
119,Bronx,Highbridge,244,Manhattan,Washington Heights South,26,3.23,1.855,14.308,15.9,3,7658
122,Queens,Hollis,131,Queens,Jamaica Estates,26,6.37,1.378,8.044,11.21,2,7658
133,Brooklyn,Kensington,25,Brooklyn,Boerum Hill,26,2.68,4.069,25.31,22.22,5,7658
147,Bronx,Longwood,247,Bronx,West Concourse,26,3.94,2.532,17.779,18.41,1,7658
160,Queens,Middle Village,157,Queens,Maspeth,26,3.25,1.864,10.147,13.24,4,7658
160,Queens,Middle Village,198,Queens,Ridgewood,26,3.25,2.195,11.783,13.06,5,7658
210,Brooklyn,Sheepshead Bay,21,Brooklyn,Bensonhurst East,26,3.15,3.087,18.407,19.76,8,7658
210,Brooklyn,Sheepshead Bay,155,Brooklyn,Marine Park/Mill Basin,26,3.15,2.468,14.424,15.06,9,7658
219,Queens,Springfield Gardens South,10,Queens,Baisley Park,26,2.87,1.877,8.631,19.99,4,7658
235,Bronx,University Heights/Morris Heights,247,Bronx,West Concourse,26,2.64,2.25,12.563,15.36,4,7658
254,Bronx,Williamsbridge/Olinville,18,Bronx,Bedford Park,26,2.48,2.929,18.892,18.13,5,7658
18,Bronx,Bedford Park,168,Bronx,Mott Haven/Port Morris,25,2.78,5.998,22.301,25.36,5,7817
21,Brooklyn,Bensonhurst East,29,Brooklyn,Brighton Beach,25,4.31,2.638,15.411,16.13,7,7817
22,Brooklyn,Bensonhurst West,29,Brooklyn,Brighton Beach,25,3.21,3.41,15.947,18.73,9,7817
22,Brooklyn,Bensonhurst West,181,Brooklyn,Park Slope,25,3.21,5.017,30.444,25.76,10,7817
28,Queens,Briarwood/Jamaica Hills,226,Queens,Sunnyside,25,2.1,8.505,22.733,33.63,7,7817
29,Brooklyn,Brighton Beach,22,Brooklyn,Bensonhurst West,25,4.66,3.562,20.198,18.68,3,7817
29,Brooklyn,Brighton Beach,123,Brooklyn,Homecrest,25,4.66,1.577,10.628,11.87,4,7817
55,Brooklyn,Coney Island,22,Brooklyn,Bensonhurst West,25,2.43,2.917,16.612,18.54,9,7817
60,Bronx,Crotona Park East,42,Manhattan,Central Harlem North,25,4.16,5.224,21.927,25.58,1,7817
60,Bronx,Crotona Park East,168,Bronx,Mott Haven/Port Morris,25,4.16,3.052,14.92,18.08,2,7817
67,Brooklyn,Dyker Heights,26,Brooklyn,Borough Park,25,6.04,1.676,12.589,13.64,4,7817
77,Brooklyn,East New York/Pennsylvania Avenue,37,Brooklyn,Bushwick South,25,2.12,2.998,24.785,21.69,10,7817
78,Bronx,East Tremont,247,Bronx,West Concourse,25,2.58,3.38,19.104,20.81,6,7817
106,Brooklyn,Gowanus,55,Brooklyn,Coney Island,25,2.24,9.758,37.547,39.11,9,7817
106,Brooklyn,Gowanus,225,Brooklyn,Stuyvesant Heights,25,2.24,3.848,24.149,24.49,10,7817
180,Queens,Ozone Park,76,Brooklyn,East New York,25,3.97,2.486,10.868,14.69,5,7817
182,Bronx,Parkchester,75,Manhattan,East Harlem South,25,2.52,7.372,38.169,36.09,6,7817
210,Brooklyn,Sheepshead Bay,22,Brooklyn,Bensonhurst West,25,3.03,4.814,17.217,18.47,10,7817
212,Bronx,Soundview/Bruckner,168,Bronx,Mott Haven/Port Morris,25,2.78,4.937,16.075,19.16,3,7817
218,Queens,Springfield Gardens North,216,Queens,South Ozone Park,25,3.33,3.413,14.493,17.27,5,7817
241,Bronx,Van Cortlandt Village,243,Manhattan,Washington Heights North,25,3.0,3.337,19.384,19.07,2,7817
250,Bronx,Westchester Village/Unionport,42,Manhattan,Central Harlem North,25,3.16,6.522,33.357,31.46,2,7817
254,Bronx,Williamsbridge/Olinville,213,Bronx,Soundview/Castle Hill,25,2.39,5.662,17.628,25.61,6,7817
6,Staten Island,Arrochar/Fort Wadsworth,195,Brooklyn,Red Hook,24,30.38,7.687,22.024,21.97,1,7989
28,Queens,Briarwood/Jamaica Hills,215,Queens,South Jamaica,24,2.02,2.123,14.86,14.84,8,7989
51,Bronx,Co-Op City,169,Bronx,Mount Hope,24,2.2,7.546,26.269,32.1,9,7989
55,Brooklyn,Coney Island,89,Brooklyn,Flatbush/Ditmas Park,24,2.33,6.194,37.508,29.05,10,7989
56,Queens,Corona,173,Queens,North Corona,24,2.08,1.483,10.626,11.83,7,7989
81,Bronx,Eastchester,51,Bronx,Co-Op City,24,3.94,1.834,10.131,13.53,2,7989
81,Bronx,Eastchester,174,Bronx,Norwood,24,3.94,2.574,18.18,18.73,3,7989
83,Queens,Elmhurst/Maspeth,173,Queens,North Corona,24,2.07,2.903,13.41,17.08,7,7989
92,Queens,Flushing,16,Queens,Bayside,24,2.01,4.191,17.626,20.47,8,7989
92,Queens,Flushing,130,Queens,Jamaica,24,2.01,6.66,23.726,23.4,9,7989
94,Bronx,Fordham South,244,Manhattan,Washington Heights South,24,4.82,3.593,22.65,20.21,1,7989
102,Queens,Glendale,160,Queens,Middle Village,24,3.38,1.68,9.257,10.54,4,7989
134,Queens,Kew Gardens,258,Queens,Woodhaven,24,2.26,2.567,14.64,14.82,6,7989
147,Bronx,Longwood,41,Manhattan,Central Harlem,24,3.64,3.847,28.892,24.16,2,7989
160,Queens,Middle Village,129,Queens,Jackson Heights,24,3.0,3.663,18.136,20.31,6,7989
182,Bronx,Parkchester,242,Bronx,Van Nest/Morris Park,24,2.42,1.595,10.306,14.06,7,7989
196,Queens,Rego Park,92,Queens,Flushing,24,1.95,3.716,16.397,17.88,9,7989
219,Queens,Springfield Gardens South,205,Queens,Saint Albans,24,2.65,2.319,12.203,14.21,5,7989
242,Bronx,Van Nest/Morris Park,213,Bronx,Soundview/Castle Hill,24,3.51,3.203,18.969,18.09,2,7989
250,Bronx,Westchester Village/Unionport,168,Bronx,Mott Haven/Port Morris,24,3.04,4.928,18.79,24.31,3,7989
254,Bronx,Williamsbridge/Olinville,81,Bronx,Eastchester,24,2.29,1.296,8.142,11.59,7,7989
254,Bronx,Williamsbridge/Olinville,119,Bronx,Highbridge,24,2.29,7.63,35.155,33.83,8,7989
254,Bronx,Williamsbridge/Olinville,241,Bronx,Van Cortlandt Village,24,2.29,3.213,17.512,19.95,9,7989
